iso_code,location,max_vax_pct,max_fully_pct,n_vax_days,wgm_year,wgm_agree_safe,wgm_hesitant_safe,wgm_disagree_safe,wgm_disagree_effective,wgm_2019_agree,wgm_2019_hesitant,wgm_2023_agree,wgm_2023_hesitant,dtp3_2019,gdp_2019,log_gdp,hesitancy_change
GMB,Gambia,24.92,19.93,741,,,,,,,,,,88.0,,,
GNB,Guinea-Bissau,35.48,26.01,887,,,,,,,,,,78.0,,,
GNQ,Equatorial Guinea,16.13,12.78,496,,,,,,,,,,62.0,,,
GRC,Greece,76.44,73.64,1277,2023.0,66.0,34.0,28.0,23.0,,,66.0,34.0,99.0,,,
GRD,Grenada,35.26,31.11,765,,,,,,,,,,94.0,,,
GRL,Greenland,72.98,68.17,412,,,,,,,,,,,,,
GTM,Guatemala,50.07,39.94,807,,,,,,,,,,88.0,,,
GUY,Guyana,61.24,47.23,737,,,,,,,,,,99.0,,,
HKG,Hong Kong,92.41,90.85,1266,2023.0,68.0,32.0,22.0,20.0,77.05545,22.944550000000007,68.0,32.0,,,,9.055449999999993
HND,Honduras,63.23,56.11,895,,,,,,,,,,88.0,,,
HRV,Croatia,57.64,55.87,1064,2023.0,52.0,48.0,38.0,31.0,,,52.0,48.0,94.0,,,
HTI,Haiti,4.5,3.16,897,,,,,,,,,,54.0,,,
HUN,Hungary,64.42,62.28,730,2023.0,50.0015,49.9985,41.49975,36.498753,,,50.0015,49.9985,99.0,,,
IDN,Indonesia,74.2,63.51,1046,2024.0,82.0,18.0,15.0,16.0,87.5121,12.487899999999996,77.0,23.0,85.0,,,10.512100000000004
IMN,Isle of Man,82.29,79.38,519,,,,,,,,,,,,,
IND,India,72.5,67.18,1306,2023.0,90.0,10.0,9.0,8.0,93.91824,6.081760000000003,90.0,10.0,91.0,,,3.9182399999999973
IRL,Ireland,81.87,80.94,1087,2023.0,72.0,28.0,20.0,16.0,87.833824,12.166175999999993,72.0,28.0,94.0,,,15.833824000000007
IRN,Iran,73.63,66.16,1022,2015.0,69.0,31.0,24.0,8.0,,,,,99.0,,,
IRQ,Iraq,25.47,17.85,673,2023.0,74.0,26.0,26.0,20.0,89.0,11.0,74.0,26.0,84.0,,,15.0
ISL,Iceland,83.07,77.82,455,2015.0,85.0,15.0,5.0,3.0,,,,,93.0,,,
ISR,Israel,71.15,65.19,867,2023.0,66.0,34.0,27.0,24.0,,,66.0,34.0,98.0,,,
ITA,Italy,86.28,81.21,1055,2023.0,67.49751,32.502489999999995,26.004974,21.497513,87.3057,12.694299999999998,67.49751,32.502489999999995,96.0,,,19.808189999999996
JAM,Jamaica,30.41,26.88,939,,,,,,,,,,96.0,,,
JEY,Jersey,76.14,73.9,687,,,,,,,,,,,,,
JOR,Jordan,42.72,40.39,587,,,,,,,,,,89.0,,,
JPN,Japan,84.47,83.4,810,2023.0,51.0,49.0,33.0,27.0,68.516914,31.483086,51.0,49.0,98.0,,,17.516914
